id	SAMPLE_NAME	CTRL	Project	DNA_extraction_plate	Plate	Fungal conc. (ng/uL)
364525_421-LP3-ITS-0421	SB_swab(cotton)_4deg_24h_2	Sample	SamplingBenchmarking	DNA17	P5	1.8
364525_422-LP3-ITS-0422	SB_swab(cotton)_4deg_24h_3	Sample	SamplingBenchmarking	DNA17	P5	10.66
364525_423-LP3-ITS-0423	SB_must_freeze_immediately_1	Sample	SamplingBenchmarking	DNA17	P5	12.83
364525_424-LP3-ITS-0424	SB_must_freeze_immediately_2	Sample	SamplingBenchmarking	DNA17	P5	4.14
364525_408-LP3-ITS-0408	SB_must_min20_24h_3	Sample	SamplingBenchmarking	DNA17	P5	6.51
364525_409-LP3-ITS-0409	SB_must_min20_1wk_1	Sample	SamplingBenchmarking	DNA17	P5	1.89
364525_414-LP3-ITS-0414	SB_must_min20_1month_3	Sample	SamplingBenchmarking	DNA17	P5	1.7
364525_415-LP3-ITS-0415	DNA17_PosCtrl	PosCtrl	SamplingBenchmarking	DNA17	P5	20.26
364525_416-LP3-ITS-0416	empty?	Sample	NOT-USE	DNA17	P5	1.29
364525_417-LP3-ITS-0417	SB_swab(cotton)_freeze_immediately_1	Sample	SamplingBenchmarking	DNA17	P5	8.39
364525_410-LP3-ITS-0410	SB_must_min20_1wk_2	Sample	SamplingBenchmarking	DNA17	P5	3.64
364525_411-LP3-ITS-0411	SB_must_min20_1wk_3	Sample	SamplingBenchmarking	DNA17	P5	5.91
364525_412-LP3-ITS-0412	SB_must_min20_1month_1	Sample	SamplingBenchmarking	DNA17	P5	3.73
364525_413-LP3-ITS-0413	SB_must_min20_1month_2	Sample	SamplingBenchmarking	DNA17	P5	6.91
364525_567-LP3-ITS-0567	MV_Post-MLF_Plot4_2023-12-11	Sample	Lavaux	DNA38	P6	1.4
364525_568-LP3-ITS-0568	MV_Post-AF_Plot13_2023-10-11	Sample	Lavaux	DNA38	P6	4.6
364525_569-LP3-ITS-0569	MV_Must_Plot13_2023-09-23	Sample	Lavaux	DNA38	P6	4.7
364525_574-LP3-ITS-0574	MV_Post-AF_Plot12_2023-10-11	Sample	Lavaux	DNA38	P6	9.2
364525_575-LP3-ITS-0575	MV_Must_Plot14_2023-09-23	Sample	Lavaux	DNA38	P6	9.8
364525_576-LP3-ITS-0576	DNA38_PosCtrl	PosCtrl	Lavaux	DNA38	P6	13.8
364525_570-LP3-ITS-0570	MV_Post-MLF_Plot13_2023-12-11	Sample	Lavaux	DNA38	P6	5.5
364525_571-LP3-ITS-0571	MV_Post-MLF_Plot9_2023-12-11	Sample	Lavaux	DNA38	P6	0.6
364525_572-LP3-ITS-0572	MV_Post-MLF_Plot5_2023-12-11	Sample	Lavaux	DNA38	P6	2.6
364525_573-LP3-ITS-0573	MV_Must_Plot19_2023-09-23	Sample	Lavaux	DNA38	P6	10.9
364525_534-LP3-ITS-0534	Valais_58	Sample	Valais	DNA38	P6	7.6
364525_535-LP3-ITS-0535	Valais_69	Sample	Valais	DNA38	P6	3.3
364525_536-LP3-ITS-0536	Valais_95	Sample	Valais	DNA38	P6	5.4
364525_537-LP3-ITS-0537	Valais_74	Sample	Valais	DNA38	P6	1.3
364525_541-LP3-ITS-0541	Valais_73	Sample	Valais	DNA38	P6	5.8
364525_542-LP3-ITS-0542	Valais_63	Sample	Valais	DNA38	P6	4.9
364525_543-LP3-ITS-0543	Valais_65	Sample	Valais	DNA38	P6	3.2
364525_544-LP3-ITS-0544	Valais_55	Sample	Valais	DNA38	P6	4.6
364525_538-LP3-ITS-0538	Valais_85	Sample	Valais	DNA38	P6	1.2
364525_539-LP3-ITS-0539	Valais_96	Sample	Valais	DNA38	P6	1.4
364525_540-LP3-ITS-0540	Valais_89	Sample	Valais	DNA38	P6	5.1
364525_527-LP3-ITS-0527	Valais_92	Sample	Valais	DNA38	P6	4.1
364525_523-LP3-ITS-0523	Valais_61	Sample	Valais	DNA38	P6	4.3
364525_524-LP3-ITS-0524	Valais_71	Sample	Valais	DNA38	P6	1.5
364525_525-LP3-ITS-0525	Valais_57	Sample	Valais	DNA38	P6	2.6
364525_526-LP3-ITS-0526	Valais_52	Sample	Valais	DNA38	P6	1.8
364525_530-LP3-ITS-0530	Valais_88	Sample	Valais	DNA38	P6	2.2
364525_531-LP3-ITS-0531	Valais_97	Sample	Valais	DNA38	P6	1.0
364525_532-LP3-ITS-0532	Valais_72	Sample	Valais	DNA38	P6	5.3
364525_533-LP3-ITS-0533	Valais_53	Sample	Valais	DNA38	P6	6.7
364525_528-LP3-ITS-0528	Valais_51	Sample	Valais	DNA38	P6	5.4
364525_529-LP3-ITS-0529	Valais_82	Sample	Valais	DNA38	P6	1.9
364525_556-LP3-ITS-0556	Valais_78	Sample	Valais	DNA38	P6	7.1
364525_557-LP3-ITS-0557	Valais_67	Sample	Valais	DNA38	P6	11.9
364525_558-LP3-ITS-0558	Valais_64	Sample	Valais	DNA38	P6	4.6
364525_563-LP3-ITS-0563	Valais_84	Sample	Valais	DNA38	P6	7.4
364525_564-LP3-ITS-0564	Valais_94	Sample	Valais	DNA38	P6	6.4
364525_565-LP3-ITS-0565	Valais_80	Sample	Valais	DNA38	P6	11.1
364525_566-LP3-ITS-0566	DNA38_NegCtrl	NegCtrl	Valais	DNA38	P6	13.9
364525_559-LP3-ITS-0559	Valais_93	Sample	Valais	DNA38	P6	15.1
364525_560-LP3-ITS-0560	Valais_98	Sample	Valais	DNA38	P6	5.5
364525_561-LP3-ITS-0561	Valais_56	Sample	Valais	DNA38	P6	3.2
364525_562-LP3-ITS-0562	Valais_75	Sample	Valais	DNA38	P6	4.8
364525_545-LP3-ITS-0545	Valais_60	Sample	Valais	DNA38	P6	1.3
364525_546-LP3-ITS-0546	Valais_81	Sample	Valais	DNA38	P6	1.1
364525_547-LP3-ITS-0547	Valais_68	Sample	Valais	DNA38	P6	2.1
364525_552-LP3-ITS-0552	Valais_87	Sample	Valais	DNA38	P6	4.1
